
--------------------------------------------------

Barrel_Shifter_16_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x5e81 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1720.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x6786 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xc63d , Shifted_Data_Out = 0xc63d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc63d , tb_Carry_Out = 0x0 , Is_Same = 1
[        1760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xc470 , Shifted_Data_Out = 0x6238 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6238 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x99ba , Shifted_Data_Out = 0xa66e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa66e , tb_Carry_Out = 0x0 , Is_Same = 1
[        1800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x79fa , Shifted_Data_Out = 0x4f3f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4f3f , tb_Carry_Out = 0x0 , Is_Same = 1
[        1820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xf61a , Shifted_Data_Out = 0xf61a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf61a , tb_Carry_Out = 0x0 , Is_Same = 1
[        1840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x6137 , Shifted_Data_Out = 0xb09b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb09b , tb_Carry_Out = 0x0 , Is_Same = 1
[        1860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x21c0 , Shifted_Data_Out = 0x0870 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0870 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x1ab6 , Shifted_Data_Out = 0xc356 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc356 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x0fdc , Shifted_Data_Out = 0x0fdc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0fdc , tb_Carry_Out = 0x0 , Is_Same = 1
[        1920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xff78 , Shifted_Data_Out = 0x7fbc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7fbc , tb_Carry_Out = 0x0 , Is_Same = 1
[        1940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x80db , Shifted_Data_Out = 0xe036 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe036 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x2b79 , Shifted_Data_Out = 0x256f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x256f , tb_Carry_Out = 0x0 , Is_Same = 1
[        1980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xee61 , Shifted_Data_Out = 0xee61 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xee61 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x78a1 , Shifted_Data_Out = 0xbc50 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbc50 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x9650 , Shifted_Data_Out = 0x2594 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2594 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x8835 , Shifted_Data_Out = 0xb106 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb106 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        2060.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x75c1 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xb498 , Shifted_Data_Out = 0xb498 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xb498 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x4273 , Shifted_Data_Out = 0x84e7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x84e7 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x168a , Shifted_Data_Out = 0x5a28 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5a28 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x80a8 , Shifted_Data_Out = 0x0542 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0542 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x8ca1 , Shifted_Data_Out = 0x8ca1 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x8ca1 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x66e6 , Shifted_Data_Out = 0xcdcc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xcdcc , tb_Carry_Out = 0x0 , Is_Same = 1
[        2200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xb52a , Shifted_Data_Out = 0xd4ab , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd4ab , tb_Carry_Out = 0x0 , Is_Same = 1
[        2220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xf48d , Shifted_Data_Out = 0xa46b , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xa46b , tb_Carry_Out = 0x1 , Is_Same = 1
[        2240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xe638 , Shifted_Data_Out = 0xe638 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe638 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xe3c8 , Shifted_Data_Out = 0xc791 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xc791 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4113 , Shifted_Data_Out = 0x044c , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x044c , tb_Carry_Out = 0x1 , Is_Same = 1
[        2300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xaec7 , Shifted_Data_Out = 0x763e , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x763e , tb_Carry_Out = 0x1 , Is_Same = 1
[        2320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x9dba , Shifted_Data_Out = 0x9dba , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9dba , tb_Carry_Out = 0x0 , Is_Same = 1
[        2340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x95b9 , Shifted_Data_Out = 0x2b72 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x2b72 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x9ab4 , Shifted_Data_Out = 0x6ad1 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6ad1 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x9086 , Shifted_Data_Out = 0x8436 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8436 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        2400.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x94f2 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x5ebd , Shifted_Data_Out = 0x5ebd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5ebd , tb_Carry_Out = 0x0 , Is_Same = 1
[        2440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xa4e4 , Shifted_Data_Out = 0x5272 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5272 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x79a9 , Shifted_Data_Out = 0x9e6a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9e6a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xa98e , Shifted_Data_Out = 0xb531 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xb531 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x1e0b , Shifted_Data_Out = 0x1e0b , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x1e0b , tb_Carry_Out = 0x1 , Is_Same = 1
[        2520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x3dc9 , Shifted_Data_Out = 0x9ee4 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x9ee4 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4875 , Shifted_Data_Out = 0x921d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x921d , tb_Carry_Out = 0x0 , Is_Same = 1
[        2560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xbf6b , Shifted_Data_Out = 0xf7ed , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf7ed , tb_Carry_Out = 0x0 , Is_Same = 1
[        2580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb4ae , Shifted_Data_Out = 0xb4ae , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb4ae , tb_Carry_Out = 0x0 , Is_Same = 1
[        2600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x4592 , Shifted_Data_Out = 0xa2c9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa2c9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xe02d , Shifted_Data_Out = 0xb80b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb80b , tb_Carry_Out = 0x0 , Is_Same = 1
[        2640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xb0c2 , Shifted_Data_Out = 0xb618 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb618 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x050d , Shifted_Data_Out = 0x050d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x050d , tb_Carry_Out = 0x0 , Is_Same = 1
[        2680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x9d18 , Shifted_Data_Out = 0x4e8c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4e8c , tb_Carry_Out = 0x0 , Is_Same = 1
[        2700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x1c86 , Shifted_Data_Out = 0x4721 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x4721 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x643b , Shifted_Data_Out = 0xec87 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xec87 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------


--------------------------------------------------

Random Combinations

--------------------------------------------------

[        2780.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xfae2 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2800.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x44b8 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x5d81 , Shifted_Data_Out = 0xaec0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xaec0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2840.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x3a04 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2860.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x7096 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x1bf5 , Shifted_Data_Out = 0x8dfa , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x8dfa , tb_Carry_Out = 0x0 , Is_Same = 1
[        2900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xa6e7 , Shifted_Data_Out = 0xa6e7 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xa6e7 , tb_Carry_Out = 0x1 , Is_Same = 1
[        2920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xb151 , Shifted_Data_Out = 0x162a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x162a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x0583 , Shifted_Data_Out = 0x160c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x160c , tb_Carry_Out = 0x0 , Is_Same = 1
[        2960.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xaa6f , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2980.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x7628 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3000.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x5 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x7139 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3020.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x3515 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x7 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x0486 , Shifted_Data_Out = 0xa090 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0xa090 , tb_Carry_Out = 0x1 , Is_Same = 1
[        3060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x2707 , Shifted_Data_Out = 0x1383 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1383 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3080.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xe5b6 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x6 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x3a20 , Shifted_Data_Out = 0x3a20 , Carry_Out = 0x1 , tb_Shifted_Data_Out = 0x3a20 , tb_Carry_Out = 0x1 , Is_Same = 1
[        3120.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xf00d , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        3140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xd27b , Shifted_Data_Out = 0x349e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x349e , tb_Carry_Out = 0x0 , Is_Same = 1
[        3160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x3db1 , Shifted_Data_Out = 0x07b6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x07b6 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------
Test Results :
--------------------------------------------------
Passed_Checks =         156
Failed_Checks =           0
Total_Checks  =         156
--------------------------------------------------

