
--------------------------------------------------

Barrel_Shifter_32_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc0895e81 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x9690042d , Shifted_Data_Out = 0x5a4010b4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5a4010b4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x975c9c2e , Shifted_Data_Out = 0xbae4e170 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbae4e170 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x0e41451c , Shifted_Data_Out = 0x0e41451c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0e41451c , tb_Carry_Out = 0x0 , Is_Same = 1
[        1700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x149e0729 , Shifted_Data_Out = 0x293c0e52 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x293c0e52 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x43356786 , Shifted_Data_Out = 0x0cd59e18 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0cd59e18 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x9eb7c63d , Shifted_Data_Out = 0xf5be31e8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf5be31e8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb855c470 , Shifted_Data_Out = 0xb855c470 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb855c470 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x5d7199ba , Shifted_Data_Out = 0xbae33374 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbae33374 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x7d4779fa , Shifted_Data_Out = 0xf51de7e8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf51de7e8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x8d24f61a , Shifted_Data_Out = 0x6927b0d0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6927b0d0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x1b876137 , Shifted_Data_Out = 0x1b876137 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1b876137 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x603921c0 , Shifted_Data_Out = 0xc0724380 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc0724380 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xdb461ab6 , Shifted_Data_Out = 0x6d186ad8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6d186ad8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x6e5f0fdc , Shifted_Data_Out = 0x72f87ee0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x72f87ee0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x3c03ff78 , Shifted_Data_Out = 0x3c03ff78 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3c03ff78 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xed8d80db , Shifted_Data_Out = 0xdb1b01b6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdb1b01b6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x3ced2b79 , Shifted_Data_Out = 0xf3b4ade4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf3b4ade4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xb0bcee61 , Shifted_Data_Out = 0x85e77308 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x85e77308 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        2000.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xd0f578a1 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xa8639650 , Shifted_Data_Out = 0xa8639650 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa8639650 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x9ab48835 , Shifted_Data_Out = 0xcd5a441a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xcd5a441a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x60b175c1 , Shifted_Data_Out = 0x182c5d70 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x182c5d70 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xcc01b498 , Shifted_Data_Out = 0xf9803693 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf9803693 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xb98c4273 , Shifted_Data_Out = 0xb98c4273 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb98c4273 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xc550168a , Shifted_Data_Out = 0xe2a80b45 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe2a80b45 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xd44b80a8 , Shifted_Data_Out = 0xf512e02a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf512e02a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xd0ca8ca1 , Shifted_Data_Out = 0xfa195194 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfa195194 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xf33466e6 , Shifted_Data_Out = 0xf33466e6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf33466e6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x152fb52a , Shifted_Data_Out = 0x0a97da95 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0a97da95 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc6b5f48d , Shifted_Data_Out = 0xf1ad7d23 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf1ad7d23 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x9c6de638 , Shifted_Data_Out = 0xf38dbcc7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf38dbcc7 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x6464e3c8 , Shifted_Data_Out = 0x6464e3c8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6464e3c8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x09ff4113 , Shifted_Data_Out = 0x04ffa089 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x04ffa089 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xe3b7aec7 , Shifted_Data_Out = 0xf8edebb1 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf8edebb1 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x5d059dba , Shifted_Data_Out = 0x0ba0b3b7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0ba0b3b7 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x5c8295b9 , Shifted_Data_Out = 0x5c8295b9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5c8295b9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xda269ab4 , Shifted_Data_Out = 0xed134d5a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xed134d5a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xc3339086 , Shifted_Data_Out = 0xf0cce421 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf0cce421 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xf92794f2 , Shifted_Data_Out = 0xff24f29e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xff24f29e , tb_Carry_Out = 0x0 , Is_Same = 1
[        2420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xdece5ebd , Shifted_Data_Out = 0xdece5ebd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdece5ebd , tb_Carry_Out = 0x0 , Is_Same = 1
[        2440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xf249a4e4 , Shifted_Data_Out = 0xf924d272 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf924d272 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x54a879a9 , Shifted_Data_Out = 0x152a1e6a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x152a1e6a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x4765a98e , Shifted_Data_Out = 0x08ecb531 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x08ecb531 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x85e51e0b , Shifted_Data_Out = 0x85e51e0b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x85e51e0b , tb_Carry_Out = 0x0 , Is_Same = 1
[        2520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x64c83dc9 , Shifted_Data_Out = 0x32641ee4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x32641ee4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xbab14875 , Shifted_Data_Out = 0xeeac521d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xeeac521d , tb_Carry_Out = 0x0 , Is_Same = 1
[        2560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x35cdbf6b , Shifted_Data_Out = 0x06b9b7ed , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x06b9b7ed , tb_Carry_Out = 0x0 , Is_Same = 1
[        2580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xd73fb4ae , Shifted_Data_Out = 0xd73fb4ae , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd73fb4ae , tb_Carry_Out = 0x0 , Is_Same = 1
[        2600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x493e4592 , Shifted_Data_Out = 0x249f22c9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x249f22c9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x9684e02d , Shifted_Data_Out = 0xe5a1380b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe5a1380b , tb_Carry_Out = 0x0 , Is_Same = 1
[        2640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xe169b0c2 , Shifted_Data_Out = 0xfc2d3618 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfc2d3618 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        2660.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x06b3050d , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        2680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x0c039d18 , Shifted_Data_Out = 0x0c039d18 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0c039d18 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xc3761c86 , Shifted_Data_Out = 0x86ec390d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x86ec390d , tb_Carry_Out = 0x0 , Is_Same = 1
[        2720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x9dbf643b , Shifted_Data_Out = 0x76fd90ee , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x76fd90ee , tb_Carry_Out = 0x0 , Is_Same = 1
[        2740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x29efe953 , Shifted_Data_Out = 0x4f7f4a99 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4f7f4a99 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xadac225b , Shifted_Data_Out = 0xadac225b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xadac225b , tb_Carry_Out = 0x0 , Is_Same = 1
[        2780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x8273e204 , Shifted_Data_Out = 0x04e7c409 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x04e7c409 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xec50b4d8 , Shifted_Data_Out = 0xb142d363 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb142d363 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xdc0344b8 , Shifted_Data_Out = 0xe01a25c6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe01a25c6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xf287b6e5 , Shifted_Data_Out = 0xf287b6e5 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf287b6e5 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x15890f2b , Shifted_Data_Out = 0x2b121e56 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2b121e56 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x641b85c8 , Shifted_Data_Out = 0x906e1721 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x906e1721 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x50d5f9a1 , Shifted_Data_Out = 0x86afcd0a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x86afcd0a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x82223a04 , Shifted_Data_Out = 0x82223a04 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x82223a04 , tb_Carry_Out = 0x0 , Is_Same = 1
[        2940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xcb5c8096 , Shifted_Data_Out = 0x96b9012d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x96b9012d , tb_Carry_Out = 0x0 , Is_Same = 1
[        2960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x8919b412 , Shifted_Data_Out = 0x2466d04a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2466d04a , tb_Carry_Out = 0x0 , Is_Same = 1
[        2980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xd8ace2b1 , Shifted_Data_Out = 0xc567158e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xc567158e , tb_Carry_Out = 0x0 , Is_Same = 1
[        3000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xf6c38eed , Shifted_Data_Out = 0xf6c38eed , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf6c38eed , tb_Carry_Out = 0x0 , Is_Same = 1
[        3020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x7ab11bf5 , Shifted_Data_Out = 0xf56237ea , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf56237ea , tb_Carry_Out = 0x0 , Is_Same = 1
[        3040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x93c12227 , Shifted_Data_Out = 0x4f04889e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4f04889e , tb_Carry_Out = 0x0 , Is_Same = 1
[        3060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xd3a8e4a7 , Shifted_Data_Out = 0x9d47253e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9d47253e , tb_Carry_Out = 0x0 , Is_Same = 1
[        3080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xdcef90b9 , Shifted_Data_Out = 0xdcef90b9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdcef90b9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x6de5bbdb , Shifted_Data_Out = 0xdbcb77b6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdbcb77b6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x2883b151 , Shifted_Data_Out = 0xa20ec544 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa20ec544 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x1546dd2a , Shifted_Data_Out = 0xaa36e950 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xaa36e950 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xa2e62045 , Shifted_Data_Out = 0xa2e62045 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa2e62045 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xbe75427c , Shifted_Data_Out = 0x7cea84f9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7cea84f9 , tb_Carry_Out = 0x0 , Is_Same = 1
[        3200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xff4f3cfe , Shifted_Data_Out = 0xfd3cf3fb , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfd3cf3fb , tb_Carry_Out = 0x0 , Is_Same = 1
[        3220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xb7dfaa6f , Shifted_Data_Out = 0xbefd537d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbefd537d , tb_Carry_Out = 0x0 , Is_Same = 1
[        3240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x782321f0 , Shifted_Data_Out = 0x782321f0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x782321f0 , tb_Carry_Out = 0x0 , Is_Same = 1
